Education,Skill no. 1,Skill no. 2,Skill no. 3,Interest,Location,Internship Duration,Internship
MCA,React,Data Analysis,Energy Audit,Renewable Energy,Kerala,4 months,Solar PV Intern
B.Sc,UI/UX,Biostatistics,Energy Audit,Renewable Energy,Madhya Pradesh,4 months,Solar PV Intern
MCA,Data Analysis,,Excel,Public Data,Karnataka,5 months,Open Data Portal Intern
BCA,Power BI,GIS/QGIS,Python,Smart Education,Madhya Pradesh,6 months,EdTech Data Intern
B.Sc Env,Embedded Systems,Energy Audit,React,Automation & IoT,Rajasthan,3 months,IoT Intern
B.Sc Env,Excel,Power BI,,Healthcare,Gujarat,3 months,Lab QA Intern
B.Tech CSE,SQL,Energy Audit,Embedded Systems,Automation & IoT,Delhi,4 months,IoT Intern
M.Sc,IoT Basics,UI/UX,Energy Audit,Renewable Energy,Punjab,4 months,Solar PV Intern
B.Sc Env,Remote Sensing,Power BI,GIS/QGIS,Smart Agriculture,Punjab,4 months,Remote Sensing Intern
B.Sc,IoT Basics,Power BI,Data Analysis,Smart Education,Delhi,4 months,Learning Platform Intern
M.Sc,Embedded Systems,UI/UX,,Smart Agriculture,Maharashtra,5 months,Remote Sensing Intern
MCA,Power BI,Biostatistics,Excel,Healthcare,Kerala,5 months,Biostatistics Intern
M.Sc,Power BI,,Embedded Systems,Automation & IoT,Karnataka,5 months,Automation QA Intern
M.Sc,APIs,Power BI,Embedded Systems,Automation & IoT,Tamil Nadu,5 months,IoT Intern
BBA (1st Year),Excel,React,IoT Basics,Smart Agriculture,Maharashtra,6 months,Agri Data Intern
B.Tech CSE,Data Analysis,GIS/QGIS,Excel,Renewable Energy,Odisha,6 months,Solar PV Intern
B.Com,Data Analysis,Python,IoT Basics,Automation & IoT,Delhi,4 months,IoT Intern
BCA,Energy Audit,,Data Analysis,Healthcare,Haryana,5 months,Biostatistics Intern
B.Sc Env,UI/UX,Python,Solar PV,Renewable Energy,Rajasthan,3 months,Energy Audit Intern
BBA (1st Year),Data Analysis,Excel,IoT Basics,Smart Agriculture,Maharashtra,3 months,Remote Sensing Intern
B.Sc Env,GIS/QGIS,,React,Automation & IoT,Uttar Pradesh,5 months,Automation QA Intern
BBA (1st Year),UI/UX,GIS/QGIS,Excel,Healthcare,Rajasthan,3 months,Lab QA Intern
B.Com,IoT Basics,APIs,Excel,Healthcare,Punjab,3 months,Biostatistics Intern
BBA (Final Year),Power BI,,SQL,Public Data,Haryana,4 months,Open Data Portal Intern
B.Sc,React,Biostatistics,SQL,Public Data,Kerala,5 months,e-Gov Data Intern
B.Tech CSE,Embedded Systems,UI/UX,SQL,Public Data,Kerala,3 months,e-Gov Data Intern
B.Tech IT,IoT Basics,React,,Smart Education,Bihar,5 months,Learning Platform Intern
MBA,Excel,Remote Sensing,React,Automation & IoT,Haryana,3 months,IoT Intern
B.Tech IT,Remote Sensing,Python,GIS/QGIS,Smart Agriculture,Kerala,4 months,Agri Data Intern
B.Tech IT,UI/UX,Power BI,Solar PV,Renewable Energy,Karnataka,3 months,Energy Audit Intern
B.Tech IT,IoT Basics,Excel,Python,Smart Education,Delhi,4 months,Learning Platform Intern
Diploma,UI/UX,Power BI,GIS/QGIS,Smart Agriculture,Bihar,4 months,Agri Data Intern
M.Sc,Python,UI/UX,Data Analysis,Smart Education,Uttar Pradesh,6 months,EdTech Data Intern
MBA,Data Analysis,UI/UX,IoT Basics,Automation & IoT,Maharashtra,5 months,Automation QA Intern
M.Sc,Embedded Systems,Energy Audit,Remote Sensing,Smart Agriculture,Maharashtra,6 months,Remote Sensing Intern
BBA (Final Year),Excel,Power BI,IoT Basics,Automation & IoT,Rajasthan,5 months,Automation QA Intern
BBA (Final Year),Energy Audit,Excel,Biostatistics,Healthcare,Punjab,5 months,Biostatistics Intern
BCA,APIs,Remote Sensing,IoT Basics,Smart Agriculture,West Bengal,6 months,Agri Data Intern
B.Sc,Python,UI/UX,,Smart Agriculture,Delhi,4 months,Agri Data Intern
M.Tech,Data Analysis,UI/UX,Embedded Systems,Automation & IoT,Gujarat,5 months,IoT Intern
BCA,React,Data Analysis,UI/UX,Smart Education,Kerala,5 months,EdTech Data Intern
B.Tech IT,Embedded Systems,Excel,Solar PV,Renewable Energy,Uttar Pradesh,3 months,Solar PV Intern
MCA,Biostatistics,,Data Analysis,Smart Education,Rajasthan,5 months,EdTech Data Intern
B.Pharm,Energy Audit,Excel,Solar PV,Renewable Energy,Uttar Pradesh,6 months,Solar PV Intern
B.Sc Env,Excel,Energy Audit,Solar PV,Renewable Energy,Kerala,5 months,Energy Audit Intern
B.Com,Energy Audit,APIs,Python,Smart Education,Haryana,5 months,EdTech Data Intern
BBA (Final Year),IoT Basics,APIs,Power BI,Public Data,Delhi,5 months,Open Data Portal Intern
BBA (Final Year),Biostatistics,Energy Audit,Data Analysis,Smart Education,Uttar Pradesh,3 months,Learning Platform Intern
BBA (1st Year),React,APIs,Data Analysis,Smart Education,Haryana,4 months,Learning Platform Intern
B.Tech IT,Remote Sensing,Excel,Data Analysis,Smart Education,Karnataka,3 months,Learning Platform Intern
B.Pharm,Power BI,,IoT Basics,Automation & IoT,Punjab,6 months,Automation QA Intern
M.Sc,React,SQL,Biostatistics,Healthcare,Uttar Pradesh,6 months,Biostatistics Intern
B.Pharm,React,UI/UX,Biostatistics,Healthcare,Bihar,3 months,Biostatistics Intern
B.Sc Env,Python,React,Biostatistics,Healthcare,Rajasthan,4 months,Lab QA Intern
BCA,Biostatistics,,Excel,Healthcare,Karnataka,6 months,Biostatistics Intern
B.Sc,Data Analysis,,Energy Audit,Renewable Energy,Maharashtra,6 months,Solar PV Intern
B.Com,Python,Biostatistics,React,Automation & IoT,Bihar,4 months,IoT Intern
M.Sc,Energy Audit,APIs,Remote Sensing,Smart Agriculture,Delhi,4 months,Agri Data Intern
BCA,Remote Sensing,Python,GIS/QGIS,Smart Agriculture,Kerala,4 months,Agri Data Intern
M.Tech,Python,,Solar PV,Renewable Energy,Maharashtra,5 months,Solar PV Intern
BBA (1st Year),Excel,,Embedded Systems,Automation & IoT,Bihar,4 months,Automation QA Intern
M.Sc,UI/UX,,Biostatistics,Healthcare,Bihar,3 months,Lab QA Intern
B.Sc,Python,Remote Sensing,,Smart Agriculture,Bihar,6 months,Agri Data Intern
MBA,GIS/QGIS,IoT Basics,,Healthcare,Karnataka,5 months,Biostatistics Intern
M.Tech,Biostatistics,,Excel,Public Data,Gujarat,4 months,Open Data Portal Intern
M.Sc,Remote Sensing,Power BI,SQL,Public Data,Madhya Pradesh,6 months,Open Data Portal Intern
BCA,IoT Basics,Python,Remote Sensing,Smart Agriculture,Tamil Nadu,3 months,Agri Data Intern
M.Tech,GIS/QGIS,,React,Automation & IoT,Delhi,6 months,IoT Intern
B.Tech CSE,Excel,Power BI,Biostatistics,Healthcare,West Bengal,5 months,Biostatistics Intern
B.Sc Env,Biostatistics,Excel,Remote Sensing,Smart Agriculture,Uttar Pradesh,3 months,Remote Sensing Intern
Diploma,Remote Sensing,Data Analysis,SQL,Public Data,Madhya Pradesh,4 months,e-Gov Data Intern
B.Sc Env,APIs,Biostatistics,Energy Audit,Renewable Energy,Madhya Pradesh,4 months,Solar PV Intern
B.Sc Env,IoT Basics,Excel,Python,Smart Education,Kerala,6 months,EdTech Data Intern
B.Sc,React,Excel,,Automation & IoT,Gujarat,4 months,Automation QA Intern
MCA,UI/UX,,Remote Sensing,Smart Agriculture,Uttar Pradesh,3 months,Agri Data Intern
BBA (1st Year),Power BI,Data Analysis,IoT Basics,Automation & IoT,Madhya Pradesh,5 months,Automation QA Intern
BCA,React,,IoT Basics,Smart Agriculture,Tamil Nadu,4 months,Remote Sensing Intern
BBA (Final Year),APIs,GIS/QGIS,,Automation & IoT,Uttar Pradesh,3 months,IoT Intern
B.Tech IT,React,Data Analysis,SQL,Public Data,Odisha,5 months,Open Data Portal Intern
B.Com,Biostatistics,,Data Analysis,Healthcare,Punjab,6 months,Biostatistics Intern
B.Sc Env,IoT Basics,SQL,Power BI,Public Data,Karnataka,6 months,e-Gov Data Intern
M.Sc,Embedded Systems,Python,Remote Sensing,Smart Agriculture,Bihar,5 months,Remote Sensing Intern
M.Tech,Power BI,Data Analysis,Remote Sensing,Smart Agriculture,Tamil Nadu,3 months,Agri Data Intern
BBA (Final Year),Data Analysis,,,Healthcare,Assam,5 months,Lab QA Intern
B.Sc Env,SQL,Biostatistics,,Healthcare,Uttar Pradesh,6 months,Lab QA Intern
B.Sc,Energy Audit,React,Excel,Public Data,Rajasthan,6 months,Open Data Portal Intern
BBA (1st Year),Excel,,Power BI,Public Data,Uttar Pradesh,3 months,e-Gov Data Intern
B.Sc Env,Remote Sensing,Excel,Biostatistics,Healthcare,West Bengal,6 months,Lab QA Intern
B.Tech IT,SQL,,Solar PV,Renewable Energy,Karnataka,6 months,Energy Audit Intern
M.Tech,Python,Biostatistics,IoT Basics,Smart Agriculture,Delhi,5 months,Agri Data Intern
BBA (Final Year),Remote Sensing,,Data Analysis,Healthcare,Karnataka,5 months,Biostatistics Intern
MBA,GIS/QGIS,Excel,IoT Basics,Smart Agriculture,Delhi,6 months,Remote Sensing Intern
BCA,Python,UI/UX,Solar PV,Renewable Energy,Bihar,6 months,Solar PV Intern
B.Tech CSE,APIs,,IoT Basics,Automation & IoT,Uttar Pradesh,6 months,IoT Intern
B.Sc,UI/UX,,Excel,Public Data,West Bengal,6 months,e-Gov Data Intern
M.Tech,Embedded Systems,GIS/QGIS,Data Analysis,Smart Education,Maharashtra,5 months,EdTech Data Intern
B.Tech CSE,APIs,GIS/QGIS,,Smart Agriculture,Kerala,3 months,Agri Data Intern
MCA,GIS/QGIS,Energy Audit,Biostatistics,Healthcare,Gujarat,3 months,Lab QA Intern
MCA,APIs,Energy Audit,Solar PV,Renewable Energy,Delhi,3 months,Solar PV Intern
MBA,Embedded Systems,Data Analysis,GIS/QGIS,Smart Agriculture,Madhya Pradesh,4 months,Agri Data Intern
B.Com,Python,Data Analysis,Biostatistics,Healthcare,Odisha,6 months,Lab QA Intern
MBA,Power BI,Embedded Systems,IoT Basics,Automation & IoT,West Bengal,4 months,Automation QA Intern
B.Sc Env,Biostatistics,GIS/QGIS,,Smart Education,Delhi,4 months,Learning Platform Intern
MCA,Biostatistics,Excel,Energy Audit,Renewable Energy,Tamil Nadu,6 months,Energy Audit Intern
B.Sc,Energy Audit,APIs,React,Automation & IoT,Karnataka,6 months,IoT Intern
M.Sc,IoT Basics,Python,Data Analysis,Healthcare,Gujarat,5 months,Biostatistics Intern
B.Tech IT,React,,Solar PV,Renewable Energy,Rajasthan,6 months,Energy Audit Intern
MBA,Biostatistics,Embedded Systems,GIS/QGIS,Smart Agriculture,Kerala,5 months,Remote Sensing Intern
B.Com,Biostatistics,GIS/QGIS,Excel,Healthcare,Madhya Pradesh,4 months,Biostatistics Intern
BBA (Final Year),APIs,IoT Basics,UI/UX,Smart Education,Rajasthan,3 months,Learning Platform Intern
BBA (1st Year),UI/UX,,Python,Smart Education,Delhi,6 months,Learning Platform Intern
B.Pharm,Energy Audit,SQL,Power BI,Public Data,Haryana,3 months,Open Data Portal Intern
BBA (Final Year),Excel,Python,Power BI,Public Data,Madhya Pradesh,4 months,Open Data Portal Intern
M.Sc,Biostatistics,React,Excel,Renewable Energy,Kerala,3 months,Energy Audit Intern
B.Tech IT,SQL,,IoT Basics,Smart Agriculture,Tamil Nadu,5 months,Agri Data Intern
B.Sc Env,Power BI,,IoT Basics,Smart Agriculture,Madhya Pradesh,6 months,Remote Sensing Intern
BBA (Final Year),Excel,,Biostatistics,Healthcare,Odisha,4 months,Biostatistics Intern
M.Sc,UI/UX,Python,,Public Data,West Bengal,3 months,e-Gov Data Intern
BCA,UI/UX,SQL,Excel,Public Data,Rajasthan,4 months,Open Data Portal Intern
B.Tech CSE,Energy Audit,Excel,SQL,Public Data,Madhya Pradesh,5 months,Open Data Portal Intern
B.Sc Env,Data Analysis,Power BI,,Smart Agriculture,Delhi,4 months,Remote Sensing Intern
B.Sc,Embedded Systems,IoT Basics,Biostatistics,Healthcare,Haryana,4 months,Lab QA Intern
M.Tech,React,Power BI,Python,Smart Education,Tamil Nadu,3 months,EdTech Data Intern
